hVD GTC	一代
C9A AKA RDD NHB	凡夫俗子
CfH kyB lDC Q1A	別有用心
exD daL DvA Q1A	刻骨銘心
PgA VJB DIC kyB	前所未有
lDB kpJ LwD PgA	勇往直前
Z1D PfI Z1D DGF	十全十美
OgA TpA ArD eAB	千瘡百孔
OgA BfA hVD IVL	千篇一律
OgA QHA DZC IKB	千絲萬縷
AcC QVC AcC gHA	半信半疑
JED kyB ZuA jjC	卓有成效
H2A kZI AxD LfD	南轅北轍
ezB JKA AVH CZD	口誅筆伐
dLB VwD dLB ipA	古色古香
VHB DKA PgA INC	史無前例
dqD PyC dqD kGK	各就各位
GAA Q1A j5D IwD	同心協力
DuQ PaI bVD DpA	名存實亡
FlK ayB elB ExD	唾手可得
DXC Q1A DKA dGO	問心無愧
iHB eIC lpA lpA	喜氣洋洋
hVA GGC XNC gFE	因地制宜
GGC GAB VeA liA	地動山搖
ElA UyA ZfB d2B	多愁善感
ElA PTA ElA gNC	多才多藝
ElA OFB hVD dJB	多此一舉
FgA H2A GGC AxD	天南地北
FgA iqI GGC IkB	天荒地老
h4F h4F hVD QwD	奄奄一息
PHC XuC eEA kfI	字正腔圓
jED lHB JGC lDC	學以致用
bVD XGC DuQ dII	實至名歸
a1B ZHA GqD aNC	審時度勢
VeA OuA aGJ QyC	山清水秀
jvA jvA VwD VwD	形形色色
AVE AVE kyB IMB	彬彬有禮
GLA IkA DKA dAA	徒勞無功
ExD Q1A hwC ayB	得心應手
ExD hHC DpC jvA	得意忘形
RVI RVI ZfB lyB	循循善誘
RVI dFI GkC dKB	循規蹈矩
Q1A eqK bVA lHA	心曠神怡
Q1A kyB lJA fGK	心有餘悸
cVB DKA elB cVB	忍無可忍
BtA cfA Q1A GAB	怦然心動
AGE FgA DVF cVA	悲天憫人
hwC kXK cHA VsA	應運而生
ayB DKB NDD GkC	手舞足蹈
ayB NDD DKA OLC	手足無措
hwX lpA EaK NlK	抑揚頓挫
BrD hcC dhC PfL	拍案叫絕
awD DBD lHB GTB	拭目以待
XGB cVD elB GTB	指日可待
hcC CLB PyC AdA	按部就班
dJC IHB IwD StA	據理力爭
LuD GGC kyB auA	擲地有聲
cVD QVA gZL lHC	日新月異
DsA JFA dLC C9B	明知故犯
KpC VJB lDD gZA	暢所欲言
G2A inI hVD jgC	曇花一現
kyB AdB kyB geB	有板有眼
kyB auA kyB VwD	有聲有色
hhB DKA cVA hgA	杳無人煙
iKB iKB cJA VsA	栩栩如生
iYA iYA ipC ksI	欣欣向榮
iZD QFA EMB IHB	歇斯底里
aGJ EkC fJA ZuA	水到渠成
O1C cVA Q1A CFA	沁人心脾
L1A DxD dnJ gZA	沉默寡言
NVA NVA kyB DIC	津津有味
iTB ecL FgA eAA	海闊天空
haI DXA cFB gnB	溫文爾雅
iSI AIA hgA DfD	灰飛煙滅
DKA dPC elB dvD	無懈可擊
DKA dKA DKA aDD	無拘無束
DKA ZHA DKA exD	無時無刻
DKA ddI FAC lpB	無關痛癢
icK cfA hVD QVA	煥然一新
cfA DGE XHA d1H	燃眉之急
GAD hVD DKA cGC	獨一無二
I1A IqA DcB DBD	琳瑯滿目
lHC ezB GAA auA	異口同聲
lHC dXI GaL eHB	異軍突起
AZD CXB GLA fpA	發憤圖強
ArD DKA IhA IOC	百無聊賴
aVK QwD DZC AfG	瞬息萬變
JFA dHB JFA AFF	知己知彼
GaL AIA DrB NVC	突飛猛進
NuA huT fyA NuA	精益求精
XFB NGK d1E DMA	紙醉金迷
BXA XGC G2D ITA	紛至沓來
PfL DKA fVG kyB	絕無僅有
YpD YpD kyB lJA	綽綽有餘
dMC kpJ eTA ITA	繼往開來
BfA BfA eHB DKB	翩翩起舞
cHB DBD hVD QVA	耳目一新
auC GcB IkB cVA	聖誕老人
QBD cfA eHB dsC	肅然起敬
QGC DKA fHC GcC	肆無忌憚
jLA IlA CxD QLC	胡蘿蔔素
dpD F2D bVD GGC	腳踏實地
PGC P3A jvA hUK	自慚形穢
PGC eHA eHA cVA	自欺欺人
DZC DKA hVD aVD	萬無一失
DZC NFB OgA jAA	萬紫千紅
YVJ YVJ lDD GAB	蠢蠢欲動
YDD DBD dsA Q1A	觸目驚心
HqD AOC cFB NpB	諾貝爾獎
AfG AaB dnA INC	變本加厲
apB Q1A lfL DBD	賞心悅目
lpD lpD lDD aHC	躍躍欲試
kXK LyA kGI hED	運籌帷幄
liA liA DKA fHA	遙遙無期
d1E AsD iII jqI	金碧輝煌
eTA NCA DsA gFG	開宗明義
dtD imI QkA lpB	隔靴搔癢
RFI Q1A VJB lDD	隨心所欲
RFI ZHA RFI GGC	隨時隨地
RFI AlA LBD IyA	隨波逐流
XVC cHB lDD IAA	震耳欲聾
bVK IHB ZuA XpA	順理成章
GzA iaI HkB JpC	頭昏腦脹
GzA BlC igL IyA	頭破血流
GzA GzA ZFB GkB	頭頭是道
AIA f1E NzB ayC	飛禽走獸
dIJ AKB bVA dAA	鬼斧神工
h6B cfA aVD VwD	黯然失色
